dedup,empate,ventana_r2,filas_29jul,emision_parcial,corte,objetivo,zona_muerta,n,dias,modelo_pct,modelo_lo,modelo_hi,base_pct,base_lo,base_hi,ventaja_pp,ventaja_lo,ventaja_hi,p_dia,b,c,p_exacto,p_chi2,mae,mae_lo,mae_hi,mae_cero,mae_cero_lo,mae_cero_hi,dmae,dmae_lo,dmae_hi,dmae_bloque_lo,dmae_bloque_hi,n_cobertura,cobertura_pct,cobertura_lo,cobertura_hi,cobertura_dia_lo,cobertura_dia_hi
first,estricta,fuera,dentro,dentro,vivo,retorno_sesion,0.25,156,26,62.17948717948718,54.36328425173749,69.4102725465819,60.256410256410255,52.41946624878965,67.60037105505823,1.9230769230769231,-20.53074068855385,24.69879518072289,0.9247688077980505,44,41,0.8284232741648859,0.8282625408353115,4.049965384615384,2.835157970724369,5.726050177351549,4.011629487179486,2.8299254285659154,5.482760036118599,0.03833589743589752,-0.5396546007484808,0.6105265704953728,-0.419135673076923,0.273539391025641,0,,,,,
first,estricta,fuera,dentro,fuera,publicado,gap,0.0,181,24,58.56353591160221,51.281781039009054,65.48934822916644,60.22099447513812,52.949530765679256,67.06762352214312,-1.6574585635359116,-20.361349124954508,17.5531914893617,0.9192701824543864,47,50,0.839213661844107,0.8390809191750224,2.9686983425414364,2.0157539710368435,4.431674033140091,3.0040806629834256,2.1277076861702127,4.196291797221379,-0.03538232044198895,-0.6494046354166666,0.5675699910988335,-0.5503991712707182,0.2923820994475133,181,91.16022099447514,86.12402371639487,94.48559760483577,82.05089820359281,97.75280898876404
first,estricta,fuera,dentro,fuera,publicado,gap,0.25,138,21,60.869565217391305,52.538159907811746,68.61221477771929,59.42028985507246,51.080075704805004,67.25024902265521,1.4492753623188406,-20.14388489208633,24.409448818897637,0.9520119970007498,42,40,0.9121566075525576,0.9120671518304257,3.3051282608695653,2.0652546264062024,5.1747430460239645,3.3566340579710143,2.2448258876811593,4.911511044444445,-0.05150579710144932,-0.8484556270602339,0.7387314666666667,-0.6531645289855074,0.27058989130434774,138,88.40579710144928,81.99522690521374,92.73609698366255,76.97829893979554,96.96969696969697
first,estricta,fuera,dentro,fuera,publicado,retorno_sesion,0.0,181,24,58.56353591160221,51.281781039009054,65.48934822916644,59.668508287292816,52.392704687253534,66.54244126068654,-1.1049723756906078,-22.354013480392158,20.588235294117645,0.9610097475631092,46,48,0.9179230673157729,0.9178501726683691,3.615462983425414,2.5177585436016128,5.173923496232269,3.6802254143646405,2.603600453621749,5.039607319098104,-0.06476243093922648,-0.5978886832865169,0.46767570224223165,-0.5101057458563535,0.22748997237569055,0,,,,,
first,estricta,fuera,dentro,fuera,publicado,retorno_sesion,0.25,138,21,63.768115942028984,55.476139291546154,71.31433531012645,60.869565217391305,52.538159907811746,68.61221477771929,2.898550724637681,-22.962962962962962,29.365218115218116,0.8737815546113472,42,38,0.7375543089843084,0.7373156772164182,4.1045202898550714,2.752274685960591,6.041270950154188,4.1963463768115945,2.8888462160587642,5.873239142986337,-0.09182608695652164,-0.7852279472286757,0.6124108566680098,-0.6050134420289852,0.1446473188405798,0,,,,,
first,estricta,fuera,dentro,fuera,vivo,gap,0.0,189,25,58.2010582010582,51.07438394217419,65.00099745639949,59.78835978835979,52.670211982451484,66.51653355778163,-1.5873015873015872,-19.45945945945946,16.756756756756758,0.9127718070482379,47,50,0.839213661844107,0.8390809191750224,2.907597354497354,1.9797999019281916,4.292030384392635,2.9379370370370372,2.106025789030612,4.106395819502914,-0.030339682539682538,-0.6207038255319149,0.5264642566326531,-0.5201112433862434,0.2965676455026454,189,91.53439153439153,86.69195789651997,94.7220704769016,82.8125,97.88359788359789
first,estricta,fuera,dentro,fuera,vivo,gap,0.25,145,22,60.689655172413794,52.562038754439634,68.26549158933707,59.310344827586206,51.17428210258872,66.96582497102325,1.3793103448275863,-19.149664820751966,22.667375886524813,0.9490127468132967,42,40,0.9121566075525576,0.9120671518304257,3.227649655172414,2.0355073500698975,5.0601811744484895,3.2736344827586206,2.20505607421875,4.769676322723119,-0.045984827586206936,-0.8085808251544893,0.6921297566946437,-0.6096915172413793,0.2632089999999994,145,88.96551724137932,82.8268409128658,93.09286646928805,77.63134891424365,97.16312056737588
first,estricta,fuera,dentro,fuera,vivo,retorno_sesion,0.0,189,25,58.73015873015873,51.60551448484747,65.50698829427937,59.25925925925926,52.13745559834664,66.01216856133331,-0.5291005291005291,-20.918367346938776,20.209885038860065,1.0,47,48,0.9999999999999595,1.0,3.5492476190476188,2.4879719144377543,5.034323182827535,3.5817883597883595,2.541188748469388,4.911037367543701,-0.03254074074074071,-0.5431250210549645,0.4674674074074074,-0.48314981481481495,0.23511304232804217,0,,,,,
first,estricta,fuera,dentro,fuera,vivo,retorno_sesion,0.25,145,22,64.13793103448276,56.05961054218109,71.48647797700747,60.689655172413794,52.562038754439634,68.26549158933707,3.4482758620689653,-21.019108280254777,28.35820895522388,0.8452886778305424,43,38,0.656992467586342,0.6567212865637705,4.016864827586207,2.725802473973974,5.893445820438426,4.067417931034483,2.810743900510204,5.669509786956905,-0.05055310344827576,-0.7261596225144988,0.6028632624113471,-0.5601938965517241,0.209150896551724,0,,,,,
first,estricta,fuera,fuera,dentro,publicado,gap,0.0,193,27,64.24870466321244,57.26959541810316,70.67167281345384,60.62176165803109,53.58586110653526,67.24308430244362,3.626943005181347,-13.613160399809615,20.943041715926356,0.7398150462384404,50,43,0.5340598617346082,0.5338294217441396,2.6094098445595857,1.9610563618475878,3.441520804878049,2.944054404145078,2.0824419152285447,4.118336647961328,-0.3346445595854922,-0.9336801439189188,0.22751294063079747,-0.8533865025906735,-0.11719699481865323,193,92.2279792746114,87.57402222062696,95.23373635653292,83.85416666666666,98.39593525998407
