fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-07,6857.T,5,0.67,2.5529780749770685,1.71,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,8035.T,6,0.65,2.5529780749770685,1.66,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,IFX.DE,7,0.09,2.5529780749770685,0.24,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-10,000660.KS,0,1.0,-2.9388304959289413,-2.94,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,005930.KS,1,0.78,-2.9388304959289413,-2.28,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,2330.TW,2,0.39,-2.9388304959289413,-1.14,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,3436.T,3,0.78,-2.9388304959289413,-2.3,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,4063.T,4,0.34,-2.9388304959289413,-1.01,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,6857.T,5,0.68,-2.9388304959289413,-1.99,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,8035.T,6,0.65,-2.9388304959289413,-1.92,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-10,IFX.DE,7,0.09,-2.9388304959289413,-0.27,-752,-2.9375,-2.93883,0.0013305,1,1,0
2026-08-11,000660.KS,0,0.99,0.8753932720232332,0.87,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,005930.KS,1,0.76,0.8753932720232332,0.66,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,2330.TW,2,0.38,0.8753932720232332,0.33,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,3436.T,3,0.78,0.8753932720232332,0.68,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,4063.T,4,0.34,0.8753932720232332,0.3,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,6857.T,5,0.67,0.8753932720232332,0.59,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,8035.T,6,0.65,0.8753932720232332,0.57,224,0.875,0.875393,0.00039327,2,2,0
2026-08-11,IFX.DE,7,0.09,0.8753932720232332,0.08,224,0.875,0.875393,0.00039327,2,2,0
2026-08-12,005930.KS,1,0.51,2.489252645502645,1.28,637,2.488281,2.489253,0.0009714,2,2,0
2026-08-12,3436.T,3,0.7,2.489252645502645,1.73,637,2.488281,2.489253,0.0009714,2,2,0
2026-08-12,4063.T,4,0.33,2.489252645502645,0.83,637,2.488281,2.489253,0.0009714,2,2,0
2026-08-12,8035.T,6,0.59,2.489252645502645,1.47,637,2.488281,2.489253,0.0009714,2,2,0
2026-08-12,IFX.DE,7,0.05,2.489252645502645,0.12,637,2.488281,2.489253,0.0009714,2,2,0
2026-08-13,000660.KS,0,1.0,0.4587833827893175,0.46,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,005930.KS,1,0.77,0.4587833827893175,0.35,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,2330.TW,2,0.38,0.4587833827893175,0.18,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,3436.T,3,0.79,0.4587833827893175,0.36,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,4063.T,4,0.34,0.4587833827893175,0.16,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,6857.T,5,0.68,0.4587833827893175,0.31,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,8035.T,6,0.65,0.4587833827893175,0.3,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-13,IFX.DE,7,0.09,0.4587833827893175,0.04,117,0.457031,0.458783,0.00175213,0,0,0
2026-08-14,000660.KS,0,0.73,-0.314646110721794,-0.23,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,005930.KS,1,0.52,-0.314646110721794,-0.16,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,2330.TW,2,0.31,-0.314646110721794,-0.1,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,3436.T,3,0.7,-0.314646110721794,-0.22,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,4063.T,4,0.33,-0.314646110721794,-0.1,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,6857.T,5,0.54,-0.314646110721794,-0.17,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,8035.T,6,0.59,-0.314646110721794,-0.19,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-14,IFX.DE,7,0.05,-0.314646110721794,-0.01,-81,-0.316406,-0.314646,0.00176014,0,0,0
2026-08-17,005930.KS,1,0.77,1.6377154649186696,1.26,419,1.636719,1.637715,0.00099671,2,2,0
2026-08-17,3436.T,3,0.79,1.6377154649186696,1.29,419,1.636719,1.637715,0.00099671,2,2,0
2026-08-17,8035.T,6,0.65,1.6377154649186696,1.07,419,1.636719,1.637715,0.00099671,2,2,0
2026-08-17,IFX.DE,7,0.09,1.6377154649186696,0.15,419,1.636719,1.637715,0.00099671,2,2,0
2026-08-18,000660.KS,0,1.01,-4.982765830346476,-5.02,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,005930.KS,1,0.77,-4.982765830346476,-3.82,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,2330.TW,2,0.38,-4.982765830346476,-1.91,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,3436.T,3,0.78,-4.982765830346476,-3.89,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,4063.T,4,0.34,-4.982765830346476,-1.7,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,6857.T,5,0.67,-4.982765830346476,-3.34,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,8035.T,6,0.64,-4.982765830346476,-3.21,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-18,IFX.DE,7,0.09,-4.982765830346476,-0.45,-1276,-4.984375,-4.982766,0.00160917,1,1,0
2026-08-19,000660.KS,0,0.75,-2.1193442319270135,-1.59,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,005930.KS,1,0.53,-2.1193442319270135,-1.11,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,2330.TW,2,0.31,-2.1193442319270135,-0.65,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,3436.T,3,0.7,-2.1193442319270135,-1.49,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,4063.T,4,0.33,-2.1193442319270135,-0.7,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,6857.T,5,0.53,-2.1193442319270135,-1.12,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,8035.T,6,0.58,-2.1193442319270135,-1.24,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-19,IFX.DE,7,0.06,-2.1193442319270135,-0.12,-543,-2.121094,-2.119344,0.00174952,1,1,0
2026-08-20,000660.KS,0,0.73,0.5266385767790261,0.39,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,005930.KS,1,0.51,0.5266385767790261,0.27,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,2330.TW,2,0.31,0.5266385767790261,0.16,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,3436.T,3,0.71,0.5266385767790261,0.37,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,4063.T,4,0.33,0.5266385767790261,0.17,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,6857.T,5,0.53,0.5266385767790261,0.28,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,8035.T,6,0.59,0.5266385767790261,0.31,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-20,IFX.DE,7,0.07,0.5266385767790261,0.04,135,0.527344,0.526639,0.00070517,2,2,0
2026-08-21,000660.KS,0,0.99,-0.5052953280077462,-0.5,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,005930.KS,1,0.76,-0.5052953280077462,-0.38,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,2330.TW,2,0.38,-0.5052953280077462,-0.19,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,3436.T,3,0.8,-0.5052953280077462,-0.41,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,4063.T,4,0.35,-0.5052953280077462,-0.18,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,6857.T,5,0.65,-0.5052953280077462,-0.33,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,8035.T,6,0.64,-0.5052953280077462,-0.32,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-21,IFX.DE,7,0.09,-0.5052953280077462,-0.04,-129,-0.503906,-0.505295,0.00138908,1,1,0
2026-08-24,000660.KS,0,0.99,-2.7060188673558576,-2.68,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,005930.KS,1,0.76,-2.7060188673558576,-2.06,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,2330.TW,2,0.38,-2.7060188673558576,-1.03,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,3436.T,3,0.8,-2.7060188673558576,-2.17,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,4063.T,4,0.35,-2.7060188673558576,-0.96,-693,-2.707031,-2.706019,0.00101238,1,1,0
2026-08-24,6857.T,5,0.66,-2.7060188673558576,-1.77,-693,-2.707031,-2.706019,0.00101238,1,1,0
