fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-11,000660.KS,0,0.99,0.8753932720232332,0.87,579,2.261719,2.266377,0.0046582,2,2,0
2026-08-11,005930.KS,1,0.76,0.8753932720232332,0.66,541,2.113281,2.117461,0.00417977,2,2,0
2026-08-11,2330.TW,2,0.38,0.8753932720232332,0.33,470,1.835938,1.837236,0.0012986,2,2,0
2026-08-11,3436.T,3,0.78,0.8753932720232332,0.68,529,2.066406,2.068199,0.00179267,2,2,0
2026-08-11,4063.T,4,0.34,0.8753932720232332,0.3,400,1.5625,1.563831,0.00133139,2,2,0
2026-08-11,6857.T,5,0.67,0.8753932720232332,0.59,443,1.730469,1.733517,0.00304792,2,2,0
2026-08-11,8035.T,6,0.65,0.8753932720232332,0.57,408,1.59375,1.596814,0.00306432,2,2,0
2026-08-11,IFX.DE,7,0.09,0.8753932720232332,0.08,252,0.984375,0.9874,0.00302459,2,2,0
2026-08-12,005930.KS,1,0.51,2.489252645502645,1.28,473,1.847656,1.848103,0.0004464,2,2,0
2026-08-12,3436.T,3,0.7,2.489252645502645,1.73,550,2.148438,2.151433,0.00299555,2,2,0
2026-08-12,4063.T,4,0.33,2.489252645502645,0.83,271,1.058594,1.060782,0.00218823,2,2,0
2026-08-12,8035.T,6,0.59,2.489252645502645,1.47,424,1.65625,1.657555,0.00130456,2,2,0
2026-08-12,IFX.DE,7,0.05,2.489252645502645,0.12,67,0.261719,0.262925,0.00120628,0,0,0
2026-08-13,000660.KS,0,1.0,0.4587833827893175,0.46,-101,-0.394531,-0.390308,0.00422364,0,0,0
2026-08-13,005930.KS,1,0.77,0.4587833827893175,0.35,-124,-0.484375,-0.482809,0.00156628,0,0,0
2026-08-13,2330.TW,2,0.38,0.4587833827893175,0.18,-167,-0.652344,-0.648715,0.00362857,1,1,0
2026-08-13,3436.T,3,0.79,0.4587833827893175,0.36,-115,-0.449219,-0.447595,0.00162381,0,0,0
2026-08-13,4063.T,4,0.34,0.4587833827893175,0.16,-165,-0.644531,-0.641028,0.00350285,1,1,0
2026-08-13,6857.T,5,0.68,0.4587833827893175,0.31,-122,-0.476562,-0.472023,0.00453951,0,0,0
2026-08-13,8035.T,6,0.65,0.4587833827893175,0.3,-109,-0.425781,-0.422334,0.00344692,0,0,0
2026-08-13,IFX.DE,7,0.09,0.4587833827893175,0.04,-158,-0.617188,-0.615801,0.00138664,1,1,0
2026-08-14,000660.KS,0,0.73,-0.314646110721794,-0.23,-176,-0.6875,-0.684315,0.00318541,1,1,0
2026-08-14,005930.KS,1,0.52,-0.314646110721794,-0.16,-136,-0.53125,-0.530617,0.00063293,1,1,0
2026-08-14,2330.TW,2,0.31,-0.314646110721794,-0.1,-97,-0.378906,-0.37692,0.0019867,0,0,0
2026-08-14,3436.T,3,0.7,-0.314646110721794,-0.22,-122,-0.476562,-0.475462,0.00110064,0,0,0
2026-08-14,4063.T,4,0.33,-0.314646110721794,-0.1,-86,-0.335938,-0.334873,0.00106437,0,0,0
2026-08-14,6857.T,5,0.54,-0.314646110721794,-0.17,-97,-0.378906,-0.376779,0.00212711,0,0,0
2026-08-14,8035.T,6,0.59,-0.314646110721794,-0.19,-95,-0.371094,-0.368342,0.00275197,0,0,0
2026-08-14,IFX.DE,7,0.05,-0.314646110721794,-0.01,-45,-0.175781,-0.174263,0.00151805,0,0,0
2026-08-17,005930.KS,1,0.77,1.6377154649186696,1.26,481,1.878906,1.881811,0.00290445,2,2,0
2026-08-17,3436.T,3,0.79,1.6377154649186696,1.29,480,1.875,1.877723,0.00272338,2,2,0
2026-08-17,8035.T,6,0.65,1.6377154649186696,1.07,412,1.609375,1.611602,0.00222659,2,2,0
