fecha,ticker,pred,sigma,alpha,n_train,gap_pct
2026-07-30,8035.T,4.83,3.706304619225967,,,13.3997
2026-07-30,IFX.DE,1.09,3.9403870162297125,,,7.6173
2026-07-31,000660.KS,0.07,6.30461922596754,,,-4.4237
2026-07-31,005930.KS,0.06,5.539950062421972,,,-5.5238
2026-07-31,2330.TW,0.03,2.1145443196004994,,,-1.4433
2026-07-31,3436.T,0.06,6.156367041198501,,,-0.2383
2026-07-31,4063.T,0.03,2.793383270911361,,,1.7241
2026-07-31,6857.T,0.05,4.681647940074906,,,-2.1538
2026-07-31,8035.T,0.04,3.6594881398252186,,,-2.8829
2026-07-31,IFX.DE,0.01,4.049625468164794,,,2.8053
2026-08-03,2330.TW,0.4,2.1223470661672907,,,2.8017
2026-08-03,3436.T,0.82,6.171972534332085,,,6.5444
2026-08-03,4063.T,0.37,2.801186017478152,,,0.2839
2026-08-03,IFX.DE,0.12,4.057428214731585,,,3.335
2026-08-04,000660.KS,6.52,6.4216604244694135,,,7.3557
2026-08-04,005930.KS,5.14,5.672596754057428,,,5.8333
2026-08-04,2330.TW,2.48,2.1223470661672907,,,2.8017
2026-08-04,3436.T,5.06,6.164169787765293,,,6.5444
2026-08-04,4063.T,2.3,2.785580524344569,,,0.2839
2026-08-04,6857.T,4.14,4.642634207240949,,,4.8387
2026-08-04,8035.T,4.19,3.636079900124844,,,4.0564
2026-08-04,IFX.DE,0.75,4.057428214731585,,,0.9887
2026-08-05,000660.KS,-1.38,6.4216604244694135,,,1.7391
2026-08-05,005930.KS,-1.08,5.672596754057428,,,1.9523
2026-08-05,2330.TW,-0.54,2.1145443196004994,,,1.0571
2026-08-05,3436.T,-1.08,6.164169787765293,,,4.5429
2026-08-05,4063.T,-0.5,2.785580524344569,,,0.5351
2026-08-05,6857.T,-0.91,4.658239700374532,,,-0.0607
2026-08-05,8035.T,-0.89,3.636079900124844,,,1.8073
2026-08-05,IFX.DE,-0.16,4.065230961298377,,,-0.1332
2026-08-07,000660.KS,2.56,6.484082397003745,,,1.4768
2026-08-07,005930.KS,1.99,5.664794007490636,,,2.1645
2026-08-07,2330.TW,0.99,2.1145443196004994,,,0.8439
2026-08-07,3436.T,2.01,6.109550561797753,,,1.4121
2026-08-07,4063.T,0.87,2.7309612983770286,,,1.7659
2026-08-07,6857.T,1.71,4.642634207240949,,,2.1746
2026-08-07,8035.T,1.66,3.6516853932584263,,,2.3853
2026-08-07,IFX.DE,0.24,4.096441947565543,,,1.482
2026-08-10,000660.KS,-2.94,6.491885143570537,,,-1.0563
2026-08-10,005930.KS,-2.28,5.664794007490636,,,-0.2174
2026-08-10,2330.TW,-1.14,2.1145443196004994,,,0.4202
2026-08-10,3436.T,-2.3,6.109550561797753,,,0.0287
2026-08-10,4063.T,-1.01,2.7153558052434454,,,0.7
2026-08-10,6857.T,-1.99,4.658239700374532,,,-0.5254
2026-08-10,8035.T,-1.92,3.6594881398252186,,,-0.7048
2026-08-10,IFX.DE,-0.27,4.096441947565543,,,-0.8476
2026-08-11,000660.KS,0.87,6.499687890137328,,,2.1754
2026-08-11,005930.KS,0.66,5.688202247191011,,,1.6701
2026-08-11,2330.TW,0.33,2.1223470661672907,,,0.4175
2026-08-11,3436.T,0.68,6.109550561797753,,,0.0287
2026-08-11,4063.T,0.3,2.6997503121098623,,,0.7
2026-08-11,6857.T,0.59,4.666042446941323,,,-0.5254
2026-08-11,8035.T,0.57,3.643882646691635,,,-0.7048
2026-08-11,IFX.DE,0.08,4.0886392009987516,,,2.0684
2026-08-12,005930.KS,1.28,5.3995006242197245,,,4.6967
2026-08-12,3436.T,1.73,5.976903870162297,,,3.7565
2026-08-12,4063.T,0.83,2.73876404494382,,,0.858
2026-08-12,8035.T,1.47,3.698501872659176,,,2.4558
2026-08-12,IFX.DE,0.12,4.057428214731585,,,1.3948
2026-08-13,000660.KS,0.46,6.491885143570537,,,6.403
2026-08-13,005930.KS,0.35,5.703807740324594,,,2.6119
2026-08-13,3436.T,0.36,6.117353308364544,,,4.3162
2026-08-13,4063.T,0.16,2.6997503121098623,,,1.5679
2026-08-13,6857.T,0.31,4.642634207240949,,,6.7056
2026-08-13,8035.T,0.3,3.6516853932584263,,,3.4135
2026-08-13,IFX.DE,0.04,4.08083645443196,,,-0.8
2026-08-14,000660.KS,-0.23,6.281210986267166,,,5.5319
2026-08-14,005930.KS,-0.16,5.415106117353308,,,3.0965
2026-08-14,2330.TW,-0.1,2.0443196004993758,,,0.6263
2026-08-14,3436.T,-0.22,5.984706616729088,,,1.6837
2026-08-14,4063.T,-0.1,2.707553058676654,,,0.2825
2026-08-14,6857.T,-0.17,4.5177902621722845,,,0.0814
2026-08-14,8035.T,-0.19,3.6906991260923845,,,0.2368
2026-08-14,IFX.DE,-0.01,4.0418227215980025,,,3.6611
2026-08-17,005930.KS,1.26,5.696004993757803,,,3.0965
2026-08-17,3436.T,1.29,6.1251560549313355,,,1.7237
2026-08-17,8035.T,1.07,3.6516853932584263,,,0.0333
2026-08-17,IFX.DE,0.15,4.08083645443196,,,-1.8557
2026-08-18,000660.KS,-5.02,6.476279650436954,,,-7.0397
2026-08-18,005930.KS,-3.82,5.703807740324594,,,-6.3315
2026-08-18,2330.TW,-1.91,2.083333333333333,,,-1.6807
2026-08-18,3436.T,-3.89,6.171972534332085,,,-7.9197
2026-08-18,4063.T,-1.7,2.6997503121098623,,,-1.7462
2026-08-18,6857.T,-3.34,4.642634207240949,,,-4.6291
2026-08-18,8035.T,-3.21,3.706304619225967,,,-4.984
2026-08-18,IFX.DE,-0.45,4.08083645443196,,,0.2621
2026-08-19,000660.KS,-1.59,6.265605493133582,,,7.5333
2026-08-19,005930.KS,-1.11,5.415106117353308,,,3.8384
2026-08-19,2330.TW,-0.65,2.0443196004993758,,,0.6383
2026-08-19,3436.T,-1.49,6.04712858926342,,,-1.0236
2026-08-19,4063.T,-0.7,2.707553058676654,,,1.642
2026-08-19,6857.T,-1.12,4.5411985018726595,,,1.9989
2026-08-19,8035.T,-1.24,3.745318352059925,,,-1.1709
2026-08-19,IFX.DE,-0.12,4.112047440699126,,,1.6188
2026-08-20,000660.KS,0.39,6.4216604244694135,,,-0.9462
2026-08-20,005930.KS,0.27,5.524344569288389,,,-1.476
2026-08-20,3436.T,0.37,6.039325842696629,,,-4.0509
2026-08-20,4063.T,0.17,2.707553058676654,,,-0.9901
2026-08-20,6857.T,0.28,4.5177902621722845,,,-1.9796
2026-08-20,8035.T,0.31,3.745318352059925,,,-1.8512
2026-08-20,IFX.DE,0.04,4.119850187265918,,,1.7867
2026-08-21,000660.KS,-0.5,6.632334581772784,,,2.6012
2026-08-21,005930.KS,-0.38,5.813046192259675,,,-3.5524
2026-08-21,3436.T,-0.41,6.140761548064918,,,-0.1182
2026-08-21,6857.T,-0.33,4.627028714107365,,,-0.6407
2026-08-21,8035.T,-0.32,3.698501872659176,,,1.6762
